i,j,minutos
21,42,178
21,43,190
21,44,190
21,45,190
21,46,276
21,47,281
21,48,281
21,49,104
21,50,95
21,51,106
21,52,192
21,53,194
21,54,230
21,55,1
21,56,180
21,57,180
21,58,79
21,59,86
21,60,223
21,61,224
21,62,224
21,63,147
21,64,146
21,65,145
21,66,192
21,67,194
21,68,196
21,69,104
21,70,103
21,71,101
21,72,255
21,73,258
21,74,403
21,75,400
21,76,401
21,77,281
21,78,281
21,79,241
21,80,233
21,81,231
21,82,253
21,83,253
21,84,253
21,85,410
21,86,410
21,87,422
21,88,201
21,89,202
21,90,202
21,91,194
21,92,194
21,93,194
21,94,185
21,95,192
21,96,178
21,97,18
21,98,17
22,1,461
22,2,461
22,3,464
22,4,77
22,5,76
22,6,79
22,7,238
22,8,243
22,9,249
22,10,508
22,11,509
22,12,501
22,13,410
22,14,411
22,15,413
22,16,189
22,17,190
22,18,190
22,19,301
22,20,306
22,21,308
22,22,475
22,23,473
22,24,485
22,25,488
22,26,496
22,27,208
22,28,209
22,29,12122
22,30,12122
22,31,12120
22,32,214
22,33,212
22,34,211
22,35,234
22,36,234
22,37,122
22,38,116
22,39,117
22,40,286
22,41,284
22,42,283
22,43,211
22,44,213
22,45,213
22,46,229
22,47,232
22,48,234
22,49,188
22,50,180
22,51,191
22,52,279
22,53,276
22,54,191
22,55,180
22,56,1
22,57,1
22,58,226
22,59,244
22,60,152
22,61,155
22,62,150
22,63,247
22,64,248
22,65,246
22,66,329
22,67,322
22,68,328
22,69,266
22,70,264
22,71,263
22,72,222
22,73,225
22,74,533
22,75,529
22,76,532
22,77,224
22,78,225
22,79,193
22,80,189
22,81,189
22,82,197
22,83,197
22,84,198
22,85,540
22,86,541
22,87,550
22,88,352
22,89,354
22,90,353
22,91,317
22,92,315
22,93,319
22,94,331
22,95,336
22,96,319
22,97,194
22,98,194
23,1,239
23,2,239
23,3,242
23,4,160
23,5,161
23,6,156
23,7,259
23,8,266
23,9,266
23,10,297
23,11,297
23,12,288
23,13,211
23,14,211
23,15,212
23,16,148
23,17,149
23,18,148
23,19,72
23,20,77
23,21,78
23,22,252
23,23,250
23,24,264
23,25,269
23,26,280
23,27,95
23,28,96
23,29,11961
23,30,11961
23,31,11960
23,32,75
23,33,78
23,34,78
23,35,78
23,36,78
23,37,118
23,38,122
23,39,121
23,40,109
23,41,106
23,42,104
23,43,156
23,44,155
23,45,154
23,46,256
23,47,261
23,48,260
23,49,75
23,50,74
